job_title,company_name,company_page,location,job_type,Experience Level,Yrs of Exp,skills
Front Desk Representative / Receptionist,Egypt Education Platform -,https://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339,"Rehab City, Cairo, Egypt",Full Time / On-site,Experienced,2 - 3 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Administration', 'Front Desk', 'Office Management', 'Admin', 'English', 'Arabic', 'Receptionist', 'Administrative']"
Construction Accountant,Eagle Chemicals -,https://wuzzuf.net/jobs/careers/Eagle-12429,"6th of October, Giza, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Accounting/Finance', 'Accounting', 'assets', 'Budgeting', 'Finance', 'Financial Analysis', 'Financial Management', 'Fixed Assets', 'Management', 'Industrial']"
Foreign Purchasing Specialist,Confidential -,,"10th of Ramadan City, Sharqia, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'analytical', 'Communication', 'Logistics', 'Procurement', 'Purchasing', 'Research', 'Skills', 'Supply Chain']"
Freight Forwarding Operations Specialist (Sea/Air/Road),(SAMSUNG EGYPT SDS) -,https://wuzzuf.net/jobs/careers/SAMSUNG-SDS-Egypt-44893,"New Cairo, Cairo, Egypt",Full Time / On-site,Experienced,3 - 10 Yrs of Exp,"['Logistics/Supply Chain', 'freight', 'Communication skills', 'Communication', 'Freight Forwarding', 'Logistics']"
Partner Support Specialist,WebBeds  -,https://wuzzuf.net/jobs/careers/WebBeds-Egypt-43598,"Nasr City, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Customer Service/Support', 'Tourism/Travel', 'Communication', 'computer', 'Customer Care', 'Customer Service', 'Customer Support', 'English', 'Internet', 'Management']"
Foreign Purchasing Specialist,GREENLINER -,https://wuzzuf.net/jobs/careers/Green-Liner-Egypt-104795,"10th of Ramadan City, Sharqia, Egypt",Full Time / On-site,Experienced,4 - 7 Yrs of Exp,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'foreign', 'Foreign Purchasing', 'Procurement', 'Logistics', 'Purchasing', 'Purchasing Specialist', 'Supply Chain']"
Social Media / Open Source Intelligence (OSINT) Analyst,Confidential -,,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Information Technology (IT)', 'analyst', 'Open source', 'OSINT', 'Social Media']"
Technical Expediter,Confidential -,,"Nasr City, Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['Logistics/Supply Chain', 'Manufacturing/Production', 'Project/Program Management', 'MS Office Suite', 'Microsoft Project', 'Primavera', 'Computer Skills', 'Communication', 'Planning']"
Health & Occupational Safety Manager,Iconic -,https://wuzzuf.net/jobs/careers/iconic-egypt-128624,"6th of October, Giza, Egypt",Full Time / On-site,Manager,1 - 3 Yrs of Exp,"['Quality', 'industrial security', 'Management', 'Safety', 'Risk', 'Health and Safety', 'Health &amp; Safety', 'Health', 'quality', 'Communication']"
Oracle Developer,OROUBA For Food Industry (Basma) -,https://wuzzuf.net/jobs/careers/Ourba-for-industries--Basma--Egypt-107748,"Obour City, Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'oracle developer', 'PL/SQL', 'Information Technology (IT)', 'Software Development', 'Oracle Forms', 'SQL', 'PL']"
Sales Engineer,Samcrete Engineers & contractors -,https://wuzzuf.net/jobs/careers/Samcrete-Egypt-74991,"Giza, Egypt",Full Time / On-site,Experienced,5 - 10 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Manufacturing/Production', 'Sales/Retail', 'Engineering', 'Sales', 'Civil Engineering', 'sales skills', 'Sales Target', 'Communication', 'Communication skills']"
Accountant,"ELVAN Knitting, Dyeing and finishing S.A.E -",https://wuzzuf.net/jobs/careers/Alwan-Egypt-89022,"Bourj Alarab, Alexandria, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Accounting/Finance', 'accountant', 'Finance', 'Accounting', 'Communication', 'Financial Statements', 'Financial Management', 'Commerce', 'English', 'Financial Analysis']"
Sales Marketing Executive,Al Safa -,https://wuzzuf.net/jobs/careers/Al-Safa-Egypt-35008,"Nasr City, Cairo, Egypt",Full Time / On-site,Experienced,5 - 10 Yrs of Exp,"['Customer Service/Support', 'Marketing/PR/Advertising', 'Sales/Retail', 'Management', 'Sales', 'sales skills', 'Communication', 'Business Administration', 'Marketing', 'Social Media']"
Systems Integration Specialist,aDispatcher -,https://wuzzuf.net/jobs/careers/-113391,"Cairo, Egypt",Full Time / Remote,Experienced,1 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CRM', 'Information Technology (IT)', 'technical', 'Engineering', 'Logistics', 'Installation', 'Training']"
Digital Advertising Specialist,63 Digital Media -,https://wuzzuf.net/jobs/careers/63-digital-media-united-arab-emirates-128618,"Cairo, Egypt",Full Time / Part Time / Remote,Experienced,2+ Yrs of Exp,"['Marketing/PR/Advertising', 'Ads', 'Google Ads', 'Reporting', 'Communication skills', 'Social Media', 'Analytics', 'business', 'Communication', 'Digital Marketing']"
OD Senior Specialist,L'azurde for Jewelry -,https://wuzzuf.net/jobs/careers/L--039-azurde-for-Jewelry-Egypt-25560,"Obour City, Cairo, Egypt",Full Time / On-site,Experienced,5 - 7 Yrs of Exp,"['Human Resources', 'Human Resources', 'Human Resources (HR)', 'OD', 'Learning Management System']"
Unity Game Developer,HYS Games  -,https://wuzzuf.net/jobs/careers/HYS Games-Egypt-116580,"Sheikh Zayed, Giza, Egypt",Full Time / Remote,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Game development', 'Game engine', 'mobile games', 'Unity Developer', 'Casual Hyper/Hybrid Games', 'Games', 'Information Technology (IT)', 'Computer Science']"
Key Account Manager,التوحيد والنور -,https://wuzzuf.net/jobs/careers/التوحيد والنور-Egypt-96581,"Mohandessin, Giza, Egypt",Full Time / On-site,Experienced,4 - 6 Yrs of Exp,"['males_only', 'Administration', 'Operations/Management', 'account manager', 'Communication', 'Customer Service']"
E Commerce Manager,التوحيد والنور -,https://wuzzuf.net/jobs/careers/التوحيد والنور-Egypt-96581,"Mohandessin, Giza, Egypt",Full Time / On-site,Manager,4 - 6 Yrs of Exp,"['males_only', 'Operations/Management', 'E-Commerce', 'Operations Management']"
Quality Engineer,Midea Group -,https://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266,"Alsadat City, Monufya, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['Customer Service/Support', 'Quality', 'Quality', 'Customer Compliane', 'supplier audits', 'Analysis', 'Communication', 'Communication skills', 'Engineering', 'English']"
Area Sales Manager (F&B),MY WAY -,https://wuzzuf.net/jobs/careers/MY-WAY-Egypt-8492,"Obour City, Cairo, Egypt",Full Time / On-site,Manager,7 - 10 Yrs of Exp,"['Sales/Retail', 'Sales', 'Sales Management', 'Sales Target', 'B2B Sales', 'B2C Sales', 'F&B', 'business', 'Communication', 'Communication skills']"
R&D-Senior Lab Engineer,Midea Group -,https://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266,"Alsadat City, Monufya, Egypt",Full Time / On-site,Experienced,3 - 4 Yrs of Exp,"['R&D/Science', 'Engineering - Other', 'R&D', 'analytical', 'Electrical', 'QC', 'Engineering', 'Design', 'Information Technology (IT)', 'Management']"
Media Buyer,Callvita -,https://wuzzuf.net/jobs/careers/Callvita-United-States-40801,"Cairo, Egypt",Full Time / Remote,Experienced,3 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Google Ads', 'Digital Marketing', 'Social Media', 'campaigns', 'Google Analytics', 'Performance Management', 'E-Commerce', 'social']"
General Accountant,Ferrometalco steel construction -,https://wuzzuf.net/jobs/careers/-115963,"Belbes, Sharqia, Egypt",Full Time / On-site,Entry Level,0 - 3 Yrs of Exp,"['males_preferred', 'Accounting/Finance', 'Accounting', 'accountant', 'Finance', 'Financial Analysis', 'Financial Management', 'general accountant', 'Tax', 'Financial']"
New Media Operations Specialist,Real Technology LLC -,https://wuzzuf.net/jobs/careers/Real-Technology-LLC-Egypt-124015,"Maadi, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 10 Yrs of Exp,"['Other', 'New Media Operations Specialist', 'Twitter', 'Instagram', 'YouTube', 'Content', 'Copywriting', 'E-Marketing', 'Marketing', 'media']"
Recruitment Team Leader (BPO),Intouch CX  -,https://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363,"Maadi, Cairo, Egypt",Full Time / On-site,Manager,3 - 6 Yrs of Exp,"['Human Resources', 'Talent acquisition', 'Recruitment', 'Team Leadership', 'Management', 'HR', 'Communication', 'Leadership']"
SAP Operations Coordinator,voestalpine Turnout Technology Egypt S.A.E. -,https://wuzzuf.net/jobs/careers/voestalpine-turnout-technology-egypt-s.a.e.-egypt-127897,"Abbassia, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Logistics/Supply Chain', 'Administration', 'Microsoft Office', 'SAP', 'Microsoft Excel', 'Logistics', 'Coordination', 'Supply Chain']"
Logistics & Customs Clearance Specialist,voestalpine Turnout Technology Egypt S.A.E. -,https://wuzzuf.net/jobs/careers/voestalpine-turnout-technology-egypt-s.a.e.-egypt-127897,"Abbassia, Cairo, Egypt",Full Time / On-site,Experienced,2 - 3 Yrs of Exp,"['Logistics/Supply Chain', 'ERP', 'Documentation', 'Logistics', 'Shipment', 'Supply Chain', 'clearance', 'freight', 'Shipping', 'MS Office']"
Scientific Officer - Water Quality & Environmental Monitoring,DIAMOND ALLIANCE SERVICES  -,https://wuzzuf.net/jobs/careers/DIAMOND ALLIANCE SERVICES-Egypt-84965,"Kano, Nigeria",Full Time / On-site,Experienced,5+ Yrs of Exp,"['R&D/Science', 'Scientific Research', 'Research Analysis']"
Senior Sales Operation,RITZY Developments -,https://wuzzuf.net/jobs/careers/-57763,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,Experienced,4+ Yrs of Exp,"['Sales/Retail', 'Administration', 'business', 'Business Administration', 'Communication', 'CRM', 'Customer Service', 'Management', 'Marketing', 'Operations']"
Account Manager,o2 Media Group -,https://wuzzuf.net/jobs/careers/Media-Group-Egypt-26163,"Dokki, Giza, Egypt",Full Time / On-site,Experienced,4 - 6 Yrs of Exp,"['Business Development', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Market Research', 'Customer Service', 'Customer Support', 'Digital Agencies', 'Business Development', 'Sales']"
Sales Account Manager,KikiHost -,https://wuzzuf.net/jobs/careers/kikihost-lebanon-128519,"Zamalek, Cairo, Egypt",Full Time / Remote,Entry Level,1+ Yrs of Exp,"['Sales/Retail', 'sales skills', 'Sales Target', 'Sales', 'business', 'Customer Service', 'English', 'Insurance', 'Selling', 'Startup']"
HSE Supervisor,Ovo Egypt -,https://wuzzuf.net/jobs/careers/kareem-shazly-ovoegypt-com-Egypt-50315,"6th of October, Giza, Egypt",Full Time / On-site,Experienced,4 - 5 Yrs of Exp,"['Quality', 'Engineering - Other', 'Emergency', 'FMCG', 'HSE', 'Industrial', 'Engineering', 'Firefighting', 'quality', 'Safety']"
Head of Regulatory & Compliance,K Line Europe -,https://wuzzuf.net/jobs/careers/-92966,"Cairo, Egypt",Full Time / Remote,Senior Management,12+ Yrs of Exp,"['Quality', 'Quality Assurance', 'Quality Management', 'Compliance', 'Regulatory Affairs']"
Senior Cost Accountant (Infrastructure),Nasr City For Trading and Contracting (NCTC) -,https://wuzzuf.net/jobs/careers/Nasr-City-For-Trading-and-Contracting--NCTC--Egypt-115291,"Nasr City, Cairo, Egypt",Full Time / On-site,Experienced,7+ Yrs of Exp,"['Accounting/Finance', 'Construction', 'Cost Accounting', 'analytical', 'Finance', 'Accounting', 'ERP', 'excel', 'MEP Engineering', 'Electromechanical Engineering']"
Senior Business Developer,Bayan-tech -,https://wuzzuf.net/jobs/careers/Teqneyat--Egypt-7105,"Mohandessin, Giza, Egypt",Full Time / Hybrid,Experienced,3 - 5 Yrs of Exp,"['Business Development', 'Sales/Retail', 'Business Development', 'English', 'Sales', 'Marketing', 'Management', 'CRM', 'business', 'Business Administration']"
Document Controller,COLAS RAIL Egypt -,https://wuzzuf.net/jobs/careers/COLAS-RAIL-Egypt-Egypt-31734,"Abdeen, Cairo, Egypt",Full Time / On-site,Experienced,2 - 3 Yrs of Exp,"['Administration', 'business', 'Business Administration', 'Administration', 'Document Control', 'office', 'Admin']"
Consumer Research Specialist,Vivo Egypt   -,https://wuzzuf.net/jobs/careers/Vivo-Egypt-Egypt-59596,"Maadi, Cairo, Egypt",Full Time / Hybrid,Experienced,3 - 5 Yrs of Exp,"['males_preferred', 'Marketing/PR/Advertising', 'Analyst/Research', 'Analytics', 'Analysis', 'Market Research', 'Research', 'Marketing', 'English', 'end user Survay', 'Surveying']"
Admin Clerk,Titan Cement Egypt  -,https://wuzzuf.net/jobs/careers/Titan-Cement-Egypt--Egypt-7832,"Max, Alexandria, Egypt",Full Time / On-site,Entry Level,1 - 2 Yrs of Exp,"['Accounting/Finance', 'Administration', 'Sales/Retail', 'CRM', 'Customer Service', 'Management', 'sales skills', 'Sales Target', 'Sales', 'Microsoft Office']"
E Commerce Specialist,Terra Egypt -,https://wuzzuf.net/jobs/careers/Terra-Egypt-Egypt-11373,"Dokki, Giza, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Marketing/PR/Advertising', 'Sales/Retail', 'E-Commerce', 'Google Analytics', 'E-Marketing', 'SEO', 'Digital Marketing', 'Business Development', 'Customer Support', 'Communication']"
Backend Developer,bluworks  -,https://wuzzuf.net/jobs/careers/bluworks-Egypt-100842,"Maadi, Cairo, Egypt",Full Time / Hybrid,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'PHP', 'Software Development', 'Laravel', 'Software Engineering', 'Agile', 'APIs', 'backend', 'Computer Science', 'Information Technology (IT)']"
English Section Head,Nahdet Misr Publishing Group -,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,"Giza, Egypt",Full Time / On-site,Senior Management,10 - 12 Yrs of Exp,"['Operations/Management', 'Education/Teaching', 'Content Development', 'Teaching']"
Logistics Coordinator,Femex Egypt -,https://wuzzuf.net/jobs/careers/Femex-Egypt-Egypt-4386,"Sheraton, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Logistics/Supply Chain', 'Operations/Management', 'Cargo', 'Logistics', 'Microsoft Office', 'Supply Chain']"
Business AI Coordinator,Roaya -,https://wuzzuf.net/jobs/careers/Roaya-Electronic-Egypt-22686,"Maadi, Cairo, Egypt",Full Time / On-site,Entry Level,0 - 1 Yrs of Exp,"['IT/Software Development', 'AI', 'analytical', 'Business Administration', 'Computer Science', 'Microsoft Office']"
Telesales Supervisor - FMCG,2MO For Trade and  Export (ZEE Soft Drinks)  -,https://wuzzuf.net/jobs/careers/2MO-For-Trade-and--Export--ZEE-Soft-Drinks--Egypt-112695,"Mokattam, Cairo, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['Operations/Management', 'Manufacturing/Production', 'Sales/Retail', 'Sales', 'sales skills', 'FMCG', 'Tele-sales', 'Telesales', 'Sales Supervisor', 'business']"
IT Help Desk,Swiss Garment Company -,https://wuzzuf.net/jobs/careers/www-arafaholding-com-5772,"10th of Ramadan City, Sharqia, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['males_only', 'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Systems', 'Information Technology (IT)', 'Internet', 'Security', 'Help desk', 'Installation', 'Computer Science']"
Purchasing Specialist,Leeds -,https://wuzzuf.net/jobs/careers/Leeds-Egypt-15550,"Smart Village, Giza, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Procurement', 'Purchasing', 'Sourcing', 'Supply Chain', 'Logistics', 'Management', 'Negotiation', 'Supply']"
Web Developer ( Shopify ),7tec -,https://wuzzuf.net/jobs/careers/7tec-Egypt-121000,"Cairo, Egypt",Freelance / Project / Part Time / Remote,Experienced,2 - 5 Yrs of Exp,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CSS3', 'front-end', 'HTML5', 'Information Technology (IT)', 'MySQL', 'PHP', 'SEO']"
Marketing Specialist,Confidential -,,"Heliopolis, Cairo, Egypt",Full Time / On-site,Entry Level,0 - 5 Yrs of Exp,"['males_only', 'Marketing/PR/Advertising', 'Assistant', 'Marketing', 'Administration', 'Advertising', 'Business Administration', 'Communication', 'Customer Service', 'English', 'Management']"
Senior Taxation Accountant,Nacita -,https://wuzzuf.net/jobs/careers/Nacita-Egypt-22041,"6th of October, Giza, Egypt",Full Time / On-site,Experienced,4 - 6 Yrs of Exp,"['Accounting/Finance', 'Accounting', 'accountant', 'Analysis', 'Finance', 'Tax', 'Tax Accounting', 'taxation', 'CPA', 'Financial']"
System Administrator,Confidential -,,"Heliopolis, Cairo, Egypt",Full Time / On-site,Experienced,3 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Communication', 'Computer Science', 'Information Technology (IT)', 'Engineering', 'MCSA', 'networks', 'LAN', 'Python']"
Sales Engineer – ABB LV Products,Accurate projects -,https://wuzzuf.net/jobs/careers/accurate-projects-egypt-128382,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['males_preferred', 'Business Development', 'Sales/Retail', 'Engineering - Mechanical/Electrical', 'Electrical', 'Communication', 'English', 'Engineering', 'Microsoft Office', 'Electrical Engineering', 'Product Sales']"
Technical Support Exchange Engineer,Global Brands -,https://wuzzuf.net/jobs/careers/gbrands-com-555,"New Cairo, Cairo, Egypt",Full Time / Hybrid,Experienced,3 - 6 Yrs of Exp,"['Engineering - Telecom/Technology', 'Exchange', 'Microsoft Exchange Server', 'Exchange Server', 'Computer Science', 'MCSE', 'Information Technology (IT)', 'Engineering']"
Digital Marketing Buyer,Business Mind Consulting -,https://wuzzuf.net/jobs/careers/Pro-Manage-Egypt-126932,"Maadi, Cairo, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Advertising', 'campaigns', 'Digital', 'Digital Marketing', 'digital media', 'Google Ads', 'Market Research', 'social', 'Social Media']"
Odoo Implementer,Alwadi Holding -,https://wuzzuf.net/jobs/careers/Alwadi-Holding-Egypt-77854,"Mohandessin, Giza, Egypt",Full Time / Hybrid,Experienced,3 - 6 Yrs of Exp,"['IT/Software Development', 'ERP Implementation', 'Implementation', 'ERP', 'Information Technology (IT)', 'coding', 'Computer Science', 'Engineering', 'Odoo', 'Python']"
HVAC Engineer,Selah ElTelmeez For Publishing & printing -,https://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447,"Obour City, Cairo, Egypt",Full Time / On-site,Experienced,4+ Yrs of Exp,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering', 'HVAC', 'Analytical', 'EHS', 'Equipment', 'Mechanical Engineering', 'Repair', 'HVAC Maintenance']"
Personnel & Payroll Specialist,HealthCare International -,https://wuzzuf.net/jobs/careers/-127491,"Hurghada, Red Sea, Egypt",Full Time / On-site,Experienced,5+ Yrs of Exp,"['Human Resources', 'Administration', 'Business Administration', 'English', 'Human Resources', 'Human Resources (HR)', 'Management', 'HR', 'Microsoft Office', 'Payroll']"
Accounts Payable Specialist,HealthCare International -,https://wuzzuf.net/jobs/careers/-127491,"Hurghada, Red Sea, Egypt",Full Time / On-site,Experienced,3+ Yrs of Exp,"['Accounting/Finance', 'Accounting', 'Accounts Payable', 'business', 'Business Development', 'Communication', 'Customer Service', 'Finance', 'Financial', 'Financial Analysis']"
"Senior Specialist, Compensation & Benefits",ESLSCA University -,https://wuzzuf.net/jobs/careers/Eslsca-Egypt-7498,"6th of October, Giza, Egypt",Full Time / On-site,Experienced,4 - 8 Yrs of Exp,"['Accounting/Finance', 'Human Resources', 'Compensation', 'Benefits', 'Human Resources (HR)', 'HRIS', 'Payroll', 'business', 'Business Administration', 'Compensation and Benefits']"
Mid-Backend Developer,Nexus Analytica -,https://wuzzuf.net/jobs/careers/Nexus-Analytica-Egypt-51435,"Shorouk City, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'back-end', 'Back-End Developer', 'Computer Science', 'Python', 'Software Engineering', 'Software Development', 'developer']"
Medical Representative,SFN Pharma -,https://wuzzuf.net/jobs/careers/sfn-pharma-egypt-128399,"Alexandria, Egypt",Full Time / On-site,Entry Level,0 - 3 Yrs of Exp,"['Medical/Healthcare', 'Sales/Retail', 'Pharmaceutical', 'Medical', 'Communication', 'Negotiation', 'Pharmacy', 'Pharma', 'sales skills', 'Science']"
Digital Marketing Intern,Essence Adverts -,https://wuzzuf.net/jobs/careers/Digital-Essence-Egypt-8061,"Cairo, Egypt",Internship / On-site,Entry Level,Creative/Design/Art,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Digital Marketing']"
Senior Full Stack JavaScript (Next/Node) Engineer,Raad Alfaris Information Technology Co -,https://wuzzuf.net/jobs/careers/Raad-Alfaris-Information-Technology-Co-Saudi-Arabia-78605,"Cairo, Egypt",Full Time / Remote,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'JavaScript', 'React', 'Node.js', 'Full Stack Development']"
Financial Analyst,HEIA -,https://wuzzuf.net/jobs/careers/HEIA-Egypt-70249,"6th of October, Giza, Egypt",Full Time / On-site,Manager,5 - 10 Yrs of Exp,"['Accounting/Finance', 'Banking', 'Analyst/Research', 'Financial Analysis', 'Finance', 'Financial Forecasting', 'Budgeting', 'Budget Management', 'Financial', 'Forecasting']"
Sales Manager,Nahdet Misr Publishing Group -,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,"Mohandessin, Giza, Egypt",Full Time / On-site,Manager,10 - 15 Yrs of Exp,"['Operations/Management', 'Sales/Retail', 'Sales', 'Pharmaceutical', 'Sales Management', 'Management', 'FMCG', 'Sales Skills', 'MBA', 'Pharmacy']"
Quality Control Section head,Roots Group  -,https://wuzzuf.net/jobs/careers/-77480,"Noubaria, Beheira, Egypt",Full Time / On-site,Experienced,8 - 10 Yrs of Exp,"['Quality', 'Quality Control', 'Engineering', 'Food Science', 'Engineering Field', 'Quality Management']"
Senior Network Engineer,Fixed Solutions -,https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523,"Cairo, Egypt",Full Time / Hybrid,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Communication', 'Design', 'Computer Science', 'Cisco', 'Engineering', 'Information Technology (IT)', 'Management']"
IT Account Manager,Beauty wise  -,https://wuzzuf.net/jobs/careers/Beauty wise-Egypt-125167,"Nasr City, Cairo, Egypt",Full Time / On-site,Manager,3 - 7 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Management', 'Networks', 'Administration', 'IT', 'Computer Hardware', 'Information Technology (IT)']"
Human Resource Business Partner,Confidential -,,"Alsadat City, Monufya, Egypt",Full Time / On-site,Manager,10 - 12 Yrs of Exp,"['Human Resources', 'Human Resources (HR)', 'Recruitment', 'Payroll System', 'Training', 'Performance Management', 'Talent management', 'Communication', 'Development', 'Implementation']"
English Language Instructor,Intenso English -,https://wuzzuf.net/jobs/careers/intenso-english-egypt-128340,"Cairo, Egypt",Part Time / Remote,Entry Level,1 - 5 Yrs of Exp,"['Education/Teaching', 'Training/Instructor', 'ESL', 'Communication Skills', 'Leadership Skills', 'Business English', 'Coaching', 'Training', 'Instructor', 'Teaching']"
Shopify Developer,Mojaa -,https://wuzzuf.net/jobs/careers/Mojaa-United Arab Emirates-127180,"New Cairo, Cairo, Egypt",Full Time / On-site,Experienced,5 - 10 Yrs of Exp,"['IT/Software Development', 'Shopify', 'Shopify developer', 'API', 'APIs', 'Computer Science', 'CSS', 'Design', 'HTML', 'Information Technology (IT)']"
Penetration Tester (Mansoura),qTech.  -,https://wuzzuf.net/jobs/careers/Alqemam-For-Programming-Egypt-3545,"Mansoura, Dakahlia, Egypt",Full Time / On-site,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'Quality Assurance', 'Quality Control', 'Engineering', 'Quality', 'SQL', 'Zephyr', 'Testing']"
AI & Computer Science Intern (Fresh Graduate),GetSircles Digital Agency -,https://wuzzuf.net/jobs/careers/GetSircles-Egypt-2161,"New Cairo, Cairo, Egypt",Internship / On-site,Entry Level,Other,"['computer', 'AI', 'Computer Science', 'Information Technology (IT)']"
SEO Specialist,Softxpert Incorporation  -,https://wuzzuf.net/jobs/careers/Softxpert-Incorporation-Egypt-3527,"Alexandria, Egypt",Full Time / Hybrid,Experienced,2+ Yrs of Exp,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'SEO', 'seo specialist', 'Social Media', 'specialist', 'WordPress', 'Search Engine']"
Senior Talent Acquisition Specialist,Erada -,https://wuzzuf.net/jobs/careers/Erada-Egypt-89969,"Maadi, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Human Resources', 'Recruitment', 'Human Resources (HR)', 'Applicant Tracking', 'Interviewing', 'Sourcing', 'Talent', 'Talent acquisition', 'Applicant Tracking Systems', 'ATS']"
Senior Operation Manager,Intouch CX  -,https://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363,"Maadi, Cairo, Egypt",Full Time / On-site,Manager,5+ Yrs of Exp,"['Customer Service/Support', 'Operations/Management', 'BPO', 'Contact Center', 'senior manager', 'Customer Service', 'Management', 'Operations', 'Communication', 'Operations Management']"
Treasury Assistant officer,Dabur -,https://wuzzuf.net/jobs/careers/Dabur-Egypt-34410,"New Cairo, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 2 Yrs of Exp,"['Accounting/Finance', 'Accounting', 'Banking', 'Communication skills', 'Financial']"
Marketing Director,Kandil Glass -,https://wuzzuf.net/jobs/careers/Kandil-Industries-Egypt-6195,"Katameya, Cairo, Egypt",Full Time / On-site,Senior Management,20 - 20 Yrs of Exp,"['Creative/Design/Art', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Administration', 'Business Administration', 'Customer Service', 'FMCG', 'Leadership', 'Management', 'Marketing']"
IT Specialist- Sheikh Zayed,Intouch CX  -,https://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'MacOS', 'ios', 'IT Service Management', 'Angular 4+', 'CSS', 'Firebase', 'Computer Engineering']"
Store Manager,Maison de Maa -,https://wuzzuf.net/jobs/careers/Maison-de-Maa-Egypt-79687,"Faisal, Giza, Egypt",Full Time / Remote,Manager,2 - 5 Yrs of Exp,"['Sales/Retail', 'Inventory Management', 'Leadership', 'sales skills', 'Store Management', 'Administration', 'Management', 'Operations', 'Sales', 'Retail']"
Treasury Manager,Elabd Foods -,https://wuzzuf.net/jobs/careers/Elabd-Foods-Egypt-7864,"Abu Rawash, Giza, Egypt",Full Time / On-site,Manager,6 - 8 Yrs of Exp,"['Accounting/Finance', 'Treasury', 'Accounting', 'CMA', 'Microsoft Office', 'IFRS', 'Financial', 'CTP']"
